Year,"Region, development group, country or area",Both 0-4,Both 5-9,Both 10-14,Both  15-19,Both 20-24,Both 25-29,Both 30-34,Both 35-39,Both 40-44,Both 45-49,Both 50-54,Both 55-59,Both 60-64,Both 65-69,Both 70-74,Both 75+,Both Tot,Male 0-4,Male 5-9,Male 10-14,Male  15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75+,Male Total,Female 0-4,Female 5-9,Female 10-14,Female  15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75+,Female Total
1995,  Oceania (excluding Australia and New Zealand),14232,16740,17414,18118,24625,29288,31880,30084,25897,20589,16493,12518,9419,5770,3607,3906,280580,7322,8593,8920,9358,12912,15151,17060,16768,14815,11995,9828,7470,5535,3308,2010,2027,153072,6910,8147,8494,8760,11713,14137,14820,13316,11082,8594,6665,5048,3884,2462,1597,1879,127508
2000,  Oceania (excluding Australia and New Zealand),13572,16255,17851,18646,21725,28254,33509,33689,29499,23564,18960,14477,10959,6698,4402,4558,296618,6833,8189,8986,9390,10995,14063,16748,17810,15996,13296,11019,8545,6315,3697,2503,2403,156788,6739,8066,8865,9256,10730,14191,16761,15879,13503,10268,7941,5932,4644,3001,1899,2155,139830
2005,  Oceania (excluding Australia and New Zealand),13486,16557,17955,18446,20835,26717,32007,34354,31056,25988,20774,16229,12792,7970,5319,5554,306039,6621,8197,9024,9222,10667,13267,15816,17977,16782,14526,11861,9434,7458,4526,2939,2898,161215,6865,8360,8931,9224,10168,13450,16191,16377,14274,11462,8913,6795,5334,3444,2380,2656,144824
2010,  Oceania (excluding Australia and New Zealand),12587,15268,16900,17054,19007,23536,28181,32138,31283,27453,22358,16863,13747,9255,5983,6562,298175,6078,7585,8473,8502,9983,11896,14027,16922,17084,15533,12709,9716,8028,5291,3216,3415,158458,6509,7683,8427,8552,9024,11640,14154,15216,14199,11920,9649,7147,5719,3964,2767,3147,139717
2015,  Oceania (excluding Australia and New Zealand),12662,14106,14745,16147,18980,25064,27583,28314,30716,28886,25009,19205,14214,11280,7011,8888,302810,6145,7344,7481,8014,10014,12719,13904,14931,16486,15861,13880,10675,8044,6451,3759,4640,160348,6517,6762,7264,8133,8966,12345,13679,13383,14230,13025,11129,8530,6170,4829,3252,4248,142462
2020,  Oceania (excluding Australia and New Zealand),10888,11550,13507,17222,22624,25716,28320,27728,27142,29626,26951,22853,17137,12260,9268,10277,313069,5252,6005,6852,8517,11892,12992,14190,14574,14749,16250,14808,12602,9586,6979,4975,5282,165505,5636,5545,6655,8705,10732,12724,14130,13154,12393,13376,12143,10251,7551,5281,4293,4995,147564
1990,  Australia and New Zealand,43726,111115,149934,188743,270036,370935,425747,430391,476071,421690,347689,295555,266233,244378,178585,252432,4473260,22544,57164,77677,97145,135688,183116,212360,214415,244136,223430,187316,158591,143647,124160,85801,104229,2271419,21182,53951,72257,91598,134348,187819,213387,215976,231935,198260,160373,136964,122586,120218,92784,148203,2201841
1995,  Australia and New Zealand,36006,102235,155679,199070,262762,342643,449038,462548,463225,504023,387285,335740,285944,255246,217639,282864,4741947,18694,52603,80090,101837,131804,166867,220416,228529,231739,262422,200373,178289,151376,131908,107514,118049,2382510,17312,49632,75589,97233,130958,175776,228622,234019,231486,241601,186912,157451,134568,123338,110125,164815,2359437
2000,  Australia and New Zealand,40985,101155,153909,216898,273154,325870,408291,498660,493374,502364,474339,377451,331522,272860,233838,360393,5065063,21103,52223,78619,111014,137566,157659,197075,244534,241556,256702,235657,198648,173072,141590,119624,153185,2519827,19882,48932,75290,105884,135588,168211,211216,254126,251818,245662,238682,178803,158450,131270,114214,207208,2545236
2005,  Australia and New Zealand,49561,123197,173414,244449,358641,380087,427313,490932,558459,499009,515444,500690,377823,323537,256282,439144,5717982,25488,63137,88578,125475,182760,186872,207035,237868,271452,248329,253665,254414,193515,166083,129669,192540,2826880,24073,60060,84836,118974,175881,193215,220278,253064,287007,250680,261779,246276,184308,157454,126613,246604,2891102
2010,  Australia and New Zealand,70144,148431,197796,300192,547726,624261,528832,522890,564361,556995,586906,490064,494243,370474,304644,522464,6830423,35984,75989,101459,154909,284496,313004,259712,253452,273830,271055,287739,240870,249726,189383,153673,235796,3381077,34160,72442,96337,145283,263230,311257,269120,269438,290531,285940,299167,249194,244517,181091,150971,286668,3449346
2015,  Australia and New Zealand,79716,181466,233959,316894,509317,676586,736364,643630,620821,615070,613901,548367,492541,485767,358884,656183,7769466,41252,94086,121577,164667,264574,330226,362015,318233,302725,301781,301882,267257,242126,245029,182395,306292,3846117,38464,87380,112382,152227,244743,346360,374349,325397,318096,313289,312019,281110,250415,240738,176489,349891,3923349
2020,  Australia and New Zealand,119535,137613,244040,535785,833536,905676,744856,738597,674824,638232,627432,633450,558042,484057,456667,735242,9067584,61622,71069,126389,277416,431392,439961,364413,363713,328146,311882,307172,307480,273333,243239,231310,341814,4480351,57913,66544,117651,258369,402144,465715,380443,374884,346678,326350,320260,325970,284709,240818,225357,393428,4587233
1990,  Europe and Northern America,1125111,2165183,3300581,4507434,6141159,7529500,7997895,7779628,7140355,6015039,5048361,4436236,3932101,3007883,2491628,4600539,77218633,578793,1110384,1698752,2331870,3175318,3877924,4077121,3930424,3567736,2966229,2442331,2068284,1733441,1312132,1023047,1722828,37616614,546318,1054799,1601829,2175564,2965841,3651576,3920774,3849204,3572619,3048810,2606030,2367952,2198660,1695751,1468581,2877711,39602019
1995,  Europe and Northern America,1115666,2237143,3441346,4704922,6490331,8188292,9078585,9107577,8390905,7245182,6210130,5241987,4426628,3345893,3020861,4585327,86830775,566220,1128915,1743516,2398852,3309899,4192661,4620492,4583804,4162479,3563235,3020397,2513493,2032636,1499660,1257370,1721237,42314866,549446,1108228,1697830,2306070,3180432,3995631,4458093,4523773,4228426,3681947,3189733,2728494,2393992,1846233,1763491,2864090,44515909
2000,  Europe and Northern America,1226098,2254301,3600843,5159097,7235811,9068937,9967243,10197507,9667099,8393889,7271069,5818079,5047151,3700669,3352141,5250569,97210503,622566,1148772,1857763,2679753,3723809,4602628,5037629,5148758,4826907,4130674,3530386,2774533,2331398,1667310,1413075,1989191,47485152,603532,1105529,1743080,2479344,3512002,4466309,4929614,5048749,4840192,4263215,3740683,3043546,2715753,2033359,1939066,3261378,49725351
2005,  Europe and Northern America,1233939,2498880,3808703,5713989,7899293,10278303,11162282,11222127,10608310,9674696,8373879,6948932,5692004,4353023,3669124,5811336,108948820,630343,1281346,1979789,2995637,4035162,5213792,5657720,5682258,5333311,4763197,3997599,3309375,2653868,1966998,1572144,2243015,53315554,603596,1217534,1828914,2718352,3864131,5064511,5504562,5539869,5274999,4911499,4376280,3639557,3038136,2386025,2096980,3568321,55633266
2010,  Europe and Northern America,1203686,2540280,3759200,5505416,8365504,11443946,12360553,12336600,12035237,11263371,9779147,8209830,6901959,5072678,4215696,6604581,121597684,613231,1289923,1941098,2877412,4296652,5768762,6217821,6174288,6005211,5533050,4673852,3808758,3166931,2283064,1815807,2565123,59030983,590455,1250357,1818102,2628004,4068852,5675184,6142732,6162312,6030026,5730321,5105295,4401072,3735028,2789614,2399889,4039458,62566701
2015,  Europe and Northern America,1341706,2230527,3085067,4801923,7790625,10923361,12806010,13382782,13302166,12480488,11316047,9696171,8082564,6349253,4860147,7943987,130392824,689216,1140430,1563570,2458367,3976372,5393295,6287079,6593823,6539388,6126147,5485983,4578233,3748192,2900266,2162898,3158741,62802000,652490,1090097,1521497,2343556,3814253,5530066,6518931,6788959,6762778,6354341,5830064,5117938,4334372,3448987,2697249,4785246,67590824
2020,  Europe and Northern America,1718855,2854743,3585507,5146949,8207038,11405302,14004646,14768353,14506920,13626173,12400818,10806119,9122077,7328521,5509672,10423170,145414863,886923,1472768,1823368,2675237,4296760,5776425,6968264,7241128,7092662,6658897,6049508,5178086,4233472,3298368,2445529,4203195,70300590,831932,1381975,1762139,2471712,3910278,5628877,7036382,7527225,7414258,6967276,6351310,5628033,4888605,4030153,3064143,6219975,75114273
1990,  Developed regions,1218122,2336657,3515393,4778845,6542271,8046060,8542136,8310844,7701900,6502173,5447420,4770283,4225780,3270616,2684324,4874386,82767210,626396,1198123,1809134,2469630,3374674,4132538,4348895,4196166,3855897,3223282,2655556,2246148,1890922,1444900,1116350,1838187,40426798,591726,1138534,1706259,2309215,3167597,3913522,4193241,4114678,3846003,3278891,2791864,2524135,2334858,1825716,1567974,3036199,42340412
1995,  Developed regions,1211084,2399601,3661627,4988679,6905734,8719739,9704217,9717135,8965294,7836623,6667186,5629444,4749204,3627371,3256285,4895870,92935093,615835,1212741,1856959,2543663,3515708,4451021,4926562,4885786,4450097,3870377,3257031,2718267,2202521,1644112,1373973,1852935,45377588,595249,1186860,1804668,2445016,3390026,4268718,4777655,4831349,4515197,3966246,3410155,2911177,2546683,1983259,1882312,3042935,47557505
2000,  Developed regions,1337495,2416705,3820220,5464239,7685874,9629869,10612714,10891481,10299338,9007262,7835129,6261818,5427612,4007698,3611975,5652581,103962010,679555,1232079,1969475,2834902,3942696,4867017,5340161,5484470,5133323,4441372,3812001,3006352,2528117,1824712,1544856,2160819,50801907,657940,1184626,1850745,2629337,3743178,4762852,5272553,5407011,5166015,4565890,4023128,3255466,2899495,2182986,2067119,3491762,53160103
2005,  Developed regions,1349755,2687205,4040579,6047176,8500281,10937037,11850642,11943667,11352202,10307973,8998016,7539318,6134858,4724705,3959322,6305621,116678357,689987,1377983,2098153,3164995,4328413,5529647,5981576,6023587,5685709,5072550,4302781,3606981,2879244,2155706,1717527,2458793,57073632,659768,1309222,1942426,2882181,4171868,5407390,5869066,5920080,5666493,5235423,4695235,3932337,3255614,2568999,2241795,3846828,59604725
2010,  Developed regions,1346834,2753237,4023774,5889639,9176958,12357156,13151135,13086594,12805465,11984979,10484660,8792652,7470022,5496340,4559545,7183268,130562258,687376,1399630,2076942,3073545,4700856,6218485,6595843,6525980,6363124,5874068,5013569,4092734,3453425,2497901,1987541,2823522,63384541,659458,1353607,1946832,2816094,4476102,6138671,6555292,6560614,6442341,6110911,5471091,4699918,4016597,2998439,2572004,4359746,67177717
2015,  Developed regions,1502491,2478027,3378174,5215131,8554673,11895730,13807267,14252237,14126119,13281905,12076792,10347245,8654841,6896956,5263257,8663634,140394479,773085,1268918,1716001,2672629,4375031,5877753,6774317,7011456,6926789,6502379,5849538,4890131,4027370,3175946,2366004,3490840,67698187,729406,1209109,1662173,2542502,4179642,6017977,7032950,7240781,7199330,6779526,6227254,5457114,4627471,3721010,2897253,5172794,72696292
2020,  Developed regions,1928003,3058249,3900202,5765111,9188888,12652352,15124816,15829981,15464097,14516830,13251808,11612135,9795591,7895248,6028662,11241470,157253443,997531,1579560,1988106,2996836,4809324,6401605,7518843,7755013,7545778,7078324,6456298,5564878,4563191,3584363,2707487,4580960,76128097,930472,1478689,1912096,2768275,4379564,6250747,7605973,8074968,7918319,7438506,6795510,6047257,5232400,4310885,3321175,6660510,81125346
1990,  Less developed regions,3721972,4172156,4355503,4852908,5905668,6949978,6995112,6345419,5437865,4390373,3613199,3065716,2758790,2243187,1846148,3564953,70218947,1849902,2086847,2190911,2454723,3059473,3810004,3945073,3593292,3066980,2455425,1976479,1611322,1402358,1095898,865359,1672623,37136669,1872070,2085309,2164592,2398185,2846195,3139974,3050039,2752127,2370885,1934948,1636720,1454394,1356432,1147289,980789,1892330,33082278
1995,  Less developed regions,3472882,3856891,4028893,4464487,5742034,6818018,6924660,6309921,5371342,4468425,3551006,2935233,2587910,2187756,1821653,3813772,68354883,1738610,1940796,2030772,2258048,2959473,3702056,3884508,3593190,3069685,2522907,1966086,1558635,1311330,1051983,839202,1776632,36203913,1734272,1916095,1998121,2206439,2782561,3115962,3040152,2716731,2301657,1945518,1584920,1376598,1276580,1135773,982451,2037140,32150970
2000,  Less developed regions,3388565,3734664,3783610,4113848,5579865,6796984,6971156,6681317,5623567,4663975,3924032,3096153,2604990,2225399,1972389,4108061,69268575,1713021,1883576,1908426,2076039,2874740,3692056,3920998,3832720,3249070,2670666,2188203,1665167,1332185,1082384,919574,1909101,36917926,1675544,1851088,1875184,2037809,2705125,3104928,3050158,2848597,2374497,1993309,1735829,1430986,1272805,1143015,1052815,2198960,32350649
2005,  Less developed regions,3563075,3874923,4059655,4605014,6223460,7735883,7910510,7183478,6231758,5145016,4187561,3464066,2721119,2231921,1925310,3705722,74768471,1830996,1985174,2073202,2357583,3273426,4305929,4557758,4196151,3664577,3002770,2383666,1881827,1409489,1094160,889028,1683713,40589449,1732079,1889749,1986453,2247431,2950034,3429954,3352752,2987327,2567181,2142246,1803895,1582239,1311630,1137761,1036282,2022009,34179022
2010,  Less developed regions,4425957,4585273,4434466,5167382,7659810,10083941,10396687,9478739,7549882,6251095,4948781,3899892,3218269,2408503,1972380,3939872,90420929,2247655,2329196,2255906,2632216,4124554,5849058,6286487,5857515,4620383,3763094,2876438,2154612,1677274,1189401,920469,1772082,50556340,2178302,2256077,2178560,2535166,3535256,4234883,4110200,3621224,2929499,2488001,2072343,1745280,1540995,1219102,1051911,2167790,39864589
2015,  Less developed regions,5487205,5610674,5237413,5731976,8885704,12624960,13123984,11543672,9331008,7262957,5866944,4564387,3528018,2799151,2141260,3824852,107564165,2806469,2856348,2692276,2941810,4739511,7261949,7911419,7078816,5763774,4412722,3457350,2573772,1870809,1423612,1034383,1714851,60539871,2680736,2754326,2545137,2790166,4146193,5363011,5212565,4464856,3567234,2850235,2409594,1990615,1657209,1375539,1106877,2110001,47024294
2020,  Less developed regions,6298575,6910910,6312432,6764726,9952818,13663057,14402192,13365393,11121091,8940346,6902617,5479718,4102373,3018852,2342954,3766608,123344662,3240034,3569224,3300743,3465016,5308864,7757593,8531418,7997992,6707828,5514632,4212938,3227507,2295868,1584652,1138650,1674788,69527747,3058541,3341686,3011689,3299710,4643954,5905464,5870774,5367401,4413263,3425714,2689679,2252211,1806505,1434200,1204304,2091820,53816915
1990," Less developed regions, excluding least developed countries",2705112,3041434,3252927,3646554,4658517,5787972,6044581,5590305,4843771,3932028,3215371,2737201,2464375,2079579,1740234,3418765,59158726,1342946,1518535,1632625,1855950,2456641,3242391,3471921,3209107,2762411,2218334,1768864,1438862,1249934,1010393,810639,1596883,31586436,1362166,1522899,1620302,1790604,2201876,2545581,2572660,2381198,2081360,1713694,1446507,1298339,1214441,1069186,929595,1821882,27572290
1995," Less developed regions, excluding least developed countries",2595682,2792004,2929699,3303451,4425586,5505948,5809698,5447777,4675224,3923013,3094312,2563978,2280266,1972498,1687485,3666485,56673106,1298597,1401805,1471900,1680253,2325237,3068672,3336260,3163723,2722684,2247317,1732229,1365601,1152202,940582,771505,1701269,30379836,1297085,1390199,1457799,1623198,2100349,2437276,2473438,2284054,1952540,1675696,1362083,1198377,1128064,1031916,915980,1965216,26293270
2000," Less developed regions, excluding least developed countries",2645375,2864241,2868420,3155242,4485444,5648991,5951141,5858935,5007325,4181559,3539184,2779110,2352466,2043603,1843449,3980142,59204627,1339177,1442963,1443354,1602182,2347928,3132679,3413356,3414191,2937172,2425744,1990468,1501904,1202716,989628,854602,1845930,31883994,1306198,1421278,1425066,1553060,2137516,2516312,2537785,2444744,2070153,1755815,1548716,1277206,1149750,1053975,988847,2134212,27320633
2005," Less developed regions, excluding least developed countries",2853093,3038011,3217453,3711116,5214834,6677620,6899797,6308661,5557120,4639469,3790863,3152405,2482542,2057428,1800619,3575429,64976460,1469919,1558322,1644093,1918363,2783001,3789322,4046623,3736663,3311763,2739613,2176385,1718424,1282073,1002074,824318,1616868,35617824,1383174,1479689,1573360,1792753,2431833,2888298,2853174,2571998,2245357,1899856,1614478,1433981,1200469,1055354,976301,1958561,29358636
2010," Less developed regions, excluding least developed countries",3685649,3784111,3586360,4226047,6573402,8944680,9349794,8544419,6789240,5650176,4481564,3550494,2951778,2224401,1852682,3794256,79989053,1883058,1930535,1832298,2179641,3613463,5302539,5766257,5373747,4225338,3454411,2635254,1974651,1539659,1096700,861394,1702192,45371137,1802591,1853576,1754062,2046406,2959939,3642141,3583537,3170672,2563902,2195765,1846310,1575843,1412119,1127701,991288,2092064,34617916
2015," Less developed regions, excluding least developed countries",4446137,4470447,4177288,4622212,7512341,11135396,11772659,10398187,8343490,6455246,5250720,4111711,3197025,2576767,1995067,3659357,94124050,2295993,2303115,2153645,2402610,4086987,6546062,7236479,6489333,5251893,3996715,3140265,2341771,1697528,1311065,962755,1635455,53851671,2150144,2167332,2023643,2219602,3425354,4589334,4536180,3908854,3091597,2458531,2110455,1769940,1499497,1265702,1032312,2023902,40272379
2020," Less developed regions, excluding least developed countries",4942702,5441432,4989297,5514011,8461045,11935561,12766951,11974024,9966376,7935187,6109977,4898033,3721110,2764037,2172695,3567499,107159937,2574214,2853516,2628622,2854439,4608408,6930332,7716938,7286830,6112508,5000379,3804783,2931497,2097563,1454961,1055364,1581869,61492223,2368488,2587916,2360675,2659572,3852637,5005229,5050013,4687194,3853868,2934808,2305194,1966536,1623547,1309076,1117331,1985630,45667714
1990," Less developed regions, excluding China",3679193,4116015,4277912,4734208,5758254,6744725,6720448,6075806,5166762,4173867,3399741,2831648,2536366,2080446,1723200,3400475,67419066,1828312,2057717,2149728,2394016,2991122,3715119,3810378,3452507,2920859,2336464,1859974,1488013,1286346,1016330,808514,1608393,35723792,1850881,2058298,2128184,2340192,2767132,3029606,2910070,2623299,2245903,1837403,1539767,1343635,1250020,1064116,914686,1792082,31695274
1995," Less developed regions, excluding China",3411110,3780119,3943408,4356038,5572119,6586091,6656845,6002489,5085596,4186708,3328928,2717470,2363384,1981853,1666060,3605740,65243958,1706584,1900197,1985590,2202698,2883832,3612743,3775130,3447960,2926432,2373213,1843132,1441153,1193648,949882,766189,1693765,34702148,1704526,1879922,1957818,2153340,2688287,2973348,2881715,2554529,2159164,1813495,1485796,1276317,1169736,1031971,899871,1911975,30541810
2000," Less developed regions, excluding China",3333435,3642522,3654747,3994938,5411359,6561046,6695048,6385339,5292909,4365412,3634216,2867664,2383385,2004841,1783635,3840132,65850628,1684375,1835930,1841716,2015748,2807998,3602216,3824185,3719989,3091918,2522316,2036242,1539876,1213297,967786,826705,1798527,35328824,1649060,1806592,1813031,1979190,2603361,2958830,2870863,2665350,2200991,1843096,1597974,1327788,1170088,1037055,956930,2041605,30521804
2005," Less developed regions, excluding China",3501095,3783103,3936692,4441357,6034774,7500595,7617511,6879476,5918448,4820446,3881557,3178702,2490991,2017592,1724267,3362375,71088981,1796874,1936818,2009182,2274352,3196892,4214130,4453562,4080310,3517762,2844837,2226075,1728274,1288307,985164,793020,1548462,38894021,1704221,1846285,1927510,2167005,2837882,3286465,3163949,2799166,2400686,1975609,1655482,1450428,1202684,1032428,931247,1813913,32194960
2010," Less developed regions, excluding China",4360314,4511128,4312965,5002307,7434692,9796950,10090439,9134103,7219188,5940455,4628354,3609479,2938271,2192684,1776279,3525004,86472612,2209493,2287950,2191256,2546804,4031943,5737618,6175117,5726800,4467200,3613305,2713212,2000034,1531970,1080828,828488,1614618,48756636,2150821,2223178,2121709,2455503,3402749,4059332,3915322,3407303,2751988,2327150,1915142,1609445,1406301,1111856,947791,1910386,37715976
2015," Less developed regions, excluding China",5404125,5528953,5141591,5579036,8666521,12305341,12767864,11181293,8957457,6922192,5549303,4254165,3247531,2535587,1949504,3378477,103368940,2756798,2809794,2639062,2861715,4647561,7137759,7784306,6940437,5590980,4249768,3298460,2410951,1726944,1292830,945874,1550925,58644164,2647327,2719159,2502529,2717321,4018960,5167582,4983558,4240856,3366477,2672424,2250843,1843214,1520587,1242757,1003630,1827552,44724776
2020," Less developed regions, excluding China",6197870,6815679,6210386,6610319,9691755,13336667,14030323,12994804,10754897,8564306,6571417,5176015,3808144,2758560,2104958,3312905,118939005,3183146,3517018,3245280,3385100,5204993,7633785,8403572,7861640,6541716,5339630,4050733,3071113,2149021,1458130,1031962,1517665,67594504,3014724,3298661,2965106,3225219,4486762,5702882,5626751,5133164,4213181,3224676,2520684,2104902,1659123,1300430,1072996,1795240,51344501
1990,  Least developed countries,1016860,1130722,1102576,1206354,1247151,1162006,950531,755114,594094,458345,397828,328515,294415,163608,105914,146188,11060221,506956,568312,558286,598773,602832,567613,473152,384185,304569,237091,207615,172460,152424,85505,54720,75740,5550233,509904,562410,544290,607581,644319,594393,477379,370929,289525,221254,190213,156055,141991,78103,51194,70448,5509988
1995,  Least developed countries,877200,1064887,1099194,1161036,1316448,1312070,1114962,862144,696118,545412,456694,371255,307644,215258,134168,147287,11681777,440013,538991,558872,577795,634236,633384,548248,429467,347001,275590,233857,193034,159128,111401,67697,75363,5824077,437187,525896,540322,583241,682212,678686,566714,432677,349117,269822,222837,178221,148516,103857,66471,71924,5857700
2000,  Least developed countries,743190,870423,915190,958606,1094421,1147993,1020015,822382,616242,482416,384848,317043,252524,181796,128940,127919,10063948,373844,440613,465072,473857,526812,559377,507642,418529,311898,244922,197735,163263,129469,92756,64972,63171,5033932,369346,429810,450118,484749,567609,588616,512373,403853,304344,237494,187113,153780,123055,89040,63968,64748,5030016
2005,  Least developed countries,709982,836912,842202,893898,1008626,1058263,1010713,874817,674638,505547,396698,311661,238577,174493,124691,130293,9792011,361077,426852,429109,439220,490425,516607,511135,459488,352814,263157,207281,163403,127416,92086,64710,66845,4971625,348905,410060,413093,454678,518201,541656,499578,415329,321824,242390,189417,148258,111161,82407,59981,63448,4820386
2010,  Least developed countries,740308,801162,848106,941335,1086408,1139261,1046893,934320,760642,600919,467217,349398,266491,184102,119698,145616,10431876,364597,398661,423608,452575,511091,546519,520230,483768,395045,308683,241184,179961,137615,92701,59075,69890,5185203,375711,402501,424498,488760,575317,592742,526663,450552,365597,292236,226033,169437,128876,91401,60623,75726,5246673
2015,  Least developed countries,1041068,1140227,1060125,1109764,1373363,1489564,1351325,1145485,987518,807711,616224,452676,330993,222384,146193,165495,13440115,510476,553233,538631,539200,652524,715887,674940,589483,511881,416007,317085,232001,173281,112547,71628,79396,6688200,530592,586994,521494,570564,720839,773677,676385,556002,475637,391704,299139,220675,157712,109837,74565,86099,6751915
2020,  Least developed countries,1355873,1469478,1323135,1250715,1491773,1727496,1635241,1391369,1154715,1005159,792640,581685,381263,254815,170259,199109,16184725,665820,715708,672121,610577,700456,827261,814480,711162,595320,514253,408155,296010,198305,129691,83286,92919,8035524,690053,753770,651014,640138,791317,900235,820761,680207,559395,490906,384485,285675,182958,125124,86973,106190,8149201
1990,  Land-locked Developing Countries (LLDC),706757,837268,889542,1013690,1064759,1124822,1157781,1184579,1171029,1015231,890535,787672,753318,587647,442562,585651,14212843,346755,414458,439086,490021,505253,534358,547810,559542,560345,491246,425134,361740,342709,238486,160163,217067,6634173,360002,422810,450456,523669,559506,590464,609971,625037,610684,523985,465401,425932,410609,349161,282399,368584,7578670
1995,  Land-locked Developing Countries (LLDC),523850,703309,740623,802623,903682,972215,994991,1015650,1016471,913898,818022,723377,699070,575805,432540,533931,12370057,264067,355251,371247,391536,423632,451247,465107,477890,484693,442501,391110,333374,307452,221718,149082,181886,5711793,259783,348058,369376,411087,480050,520968,529884,537760,531778,471397,426912,390003,391618,354087,283458,352045,6658264
2000,  Land-locked Developing Countries (LLDC),476728,638366,688450,762861,887770,926986,906233,916201,889807,846492,772832,696452,635630,531551,426942,500525,11503826,239757,322049,345638,371215,418281,434027,426911,435993,429454,411570,371766,320803,279764,203440,144768,167494,5322930,236971,316317,342812,391646,469489,492959,479322,480208,460353,434922,401066,375649,355866,328111,282174,333031,6180896
2005,  Land-locked Developing Countries (LLDC),505043,664959,679018,776041,977627,985170,921106,883136,855497,801110,750623,690639,609052,528058,459474,489475,11576028,250278,333695,338478,375537,474919,470881,442089,429486,421238,395743,366905,325206,276024,208955,155929,168498,5433861,254765,331264,340540,400504,502708,514289,479017,453650,434259,405367,383718,365433,333028,319103,303545,320977,6142167
2010,  Land-locked Developing Countries (LLDC),476444,603951,641074,775847,1045448,1128452,981440,873025,807442,764073,728438,679235,612216,513208,444601,522282,11597176,235413,302040,320757,377354,510297,555178,482754,434940,408631,385453,364007,328118,284077,212563,161509,184340,5547431,241031,301911,320317,398493,535151,573274,498686,438085,398811,378620,364431,351117,328139,300645,283092,337942,6049745
2015,  Land-locked Developing Countries (LLDC),700356,869069,817422,880744,1205841,1410766,1307544,1080686,949956,868436,800915,719734,639961,543713,456445,569832,13821420,344319,422763,420965,431228,580995,686890,648744,549226,485568,429495,394904,341249,298334,255105,193691,220143,6703619,356037,446306,396457,449516,624846,723876,658800,531460,464388,438941,406011,378485,341627,288608,262754,349689,7117801
2020,  Land-locked Developing Countries (LLDC),834000,1039358,904672,930117,1259449,1513989,1500038,1307241,1050314,921146,823588,731245,620281,522562,443035,621685,15022720,405172,502168,461803,454900,595465,730392,740758,663752,538317,453664,407401,347221,288518,245648,188014,240876,7264069,428828,537190,442869,475217,663984,783597,759280,643489,511997,467482,416187,384024,331763,276914,255021,380809,7758651
1990,  Small island developing States (SIDS),130430,139939,149427,169331,209264,245489,252439,220125,177833,138246,118577,105036,82866,55373,44430,73860,2312665,71427,75351,79154,88095,107637,126771,133716,118122,95370,73913,62588,54383,42635,28489,22055,35457,1215163,59003,64588,70273,81236,101627,118718,118723,102003,82463,64333,55989,50653,40231,26884,22375,38403,1097502
1995,  Small island developing States (SIDS),116418,128707,139753,164166,226490,295162,332143,290510,242637,200482,162927,133465,113858,80868,52606,78614,2758806,61938,68355,73051,85155,111798,143656,171933,153257,126904,105208,85634,68870,56890,40874,25883,37036,1416442,54480,60352,66702,79011,114692,151506,160210,137253,115733,95274,77293,64595,56968,39994,26723,41578,1342364
